date | value

2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1.2
2011-01-09 | 1
2010-12-30 | -1000
2010-12-30 | 0
2010-12-30 | 1000.0000
2010-12-30 | 1000.0001

2012-01-11 | 2147483648
2012-01-11 | -2147483648
2012-01-11 | -0
2015-06-30 | -0.0
2015-06-30 | +100
2012-01-10 | 1e3
2020-01-01 | 1e40
2010-01-01 | 3.1415926535
2010-01-01 | 3.14159265358979323846

2000-02-29 | 10
2004-02-29 | 7
1900-02-29 | 5

2001-42-42
2012/01/11 | 5
2001-02-30 | 1.2
2001-02-30 | -1.2
2001-02-30 | -0.2
2012-02-30 | -0.0
2012-13-01 | 1
2012-00-10 | 1
2012-01-32 | 1
2013-03-03 3
2013-03-03 |
2012-01-11|abc
2012-01-11 |    2.5
2012-01-10 | 1,000
1800-01-01 | 1
2014-05-20 | 12.5
2014-05-20 | 0.75
2014-05-21 | 2
2016-02-29 | 4
2012-02-29 | 2
